(Parent) ASIN,(Child) ASIN,Title,Sessions,Session Percentage,Page Views,Page Views Percentage,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B081QPZHJC,B081QQBVPX,"KASENTEX White Down and Feather Pillows - Triple Layer Fill and Design, 100% Luxury Cotton Fabric, Soft Touch Bed Pillow, Oeko Certified, Standard/Queen Size (20x30)",363,0.01%,520,0.01%,98.08%,57,0,15.70%,0.00%,"$2,170.29",$0.00,50,0
B099FMGSKX,B088XWYXRN,"KASENTEX 100% Cotton Sham Floral Patchwork Design, Soft & Machine Washable, Two Standard Shams 20x26, Diamond Motif Blue/Ivory",800,0.03%,976,0.03%,96.72%,52,1,6.50%,0.13%,"$1,871.12",$35.63,50,1
B09DTLFSF5,B09DLDLGYW,"KASENTEX King Size Quilt Bedding Set Ultra Soft Bedspread - Lightweight Machine Washable All Season Coverlet Vintage Nostalgic Fish Stitch Design, Blue, King Quilt + 2 Shams","1,438",0.05%,"1,792",0.05%,99.22%,50,0,3.48%,0.00%,"$3,919.50",$0.00,50,0
B07X21XMNM,B07MKLF7D8,"KASENTEX Quilted Comforter Set with Stylish Ruffled Edge Trim Nostalgic Design, Microfiber Soft Warm Bedding with Shams (Peach Rose, Queen + 2 Standard Shams)","3,473",0.13%,"4,131",0.12%,98.98%,49,0,1.41%,0.00%,"$3,063.22",$0.00,49,0
B083HS7FGB,B083HS8BPJ,"KASENTEX Luxury Goose Down Alternative Comforter Set with Plush Microfiber Stripe Design, Reversible and Machine Washable (Pewter Grey, King Set)",926,0.03%,"1,194",0.03%,99.16%,49,1,5.29%,0.11%,"$3,047.02",$59.39,49,1
B088ZGT8GM,B088XRDHB9,"KASENTEX 100% Cotton Sham Floral Patchwork Design, Soft & Machine Washable, Two Standard Shams 20x26, Multicolored Floral Paisley",226,0.01%,353,0.01%,98.30%,52,0,23.01%,0.00%,"$1,915.95",$0.00,49,0
B089WFRJFX,B089WFQ1GP,"KASENTEX 2-Tone Reversible Comforter Set with Plush Down Alternative Filling - Fluffy, Ultra Soft and Machine Washable Bedding Duvet Insert, Queen, Antique Red/Rose Pink",506,0.02%,659,0.02%,97.57%,50,0,9.88%,0.00%,"$3,090.25",$0.00,49,0
B089WFRJFX,B089WH9VZH,"KASENTEX 2-Tone Reversible Comforter Set with Plush Down Alternative Filling - Fluffy, Ultra Soft and Machine Washable Bedding Duvet Insert, Twin, Moonlight Charcoal/Mist Grey","2,050",0.08%,"2,440",0.07%,99.39%,52,0,2.54%,0.00%,"$2,581.47",$0.00,49,0
B07Q646L5M,B07MPD7TJV,"KASENTEX Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Floral Design (Taupe Grey, Oversized Queen + 2 Shams)","2,825",0.10%,"3,516",0.10%,97.41%,49,2,1.73%,0.07%,"$2,436.72",$93.04,48,2
B089WFRJFX,B08L9NBBP5,"KASENTEX 2-Tone Reversible Comforter Set with Plush Down Alternative Filling - Fluffy, Ultra Soft and Machine Washable Bedding Duvet Insert (Queen Set, White)",747,0.03%,"1,058",0.03%,99.43%,49,0,6.56%,0.00%,"$3,071.25",$0.00,48,0
B0992XTZWX,B083HS8BPJ,"KASENTEX Luxury Goose Down Alternative Comforter Set with Plush Microfiber Stripe Design, Reversible and Machine Washable (Pewter Grey, King Set)","2,561",0.09%,"2,948",0.08%,98.71%,46,0,1.80%,0.00%,"$2,951.54",$0.00,46,0
B09DTLFSF5,B09DLD9BRK,"KASENTEX Quilt Bedding Set Ultra Soft Bedspread - Lightweight Machine Washable All Season Coverlet Vintage Nostalgic Tree and Cabin Stitch Design, Camel, Twin Size + 1 Sham","6,197",0.23%,"7,898",0.23%,95.64%,56,0,0.90%,0.00%,"$3,263.45",$0.00,46,0
B09J1LCG51,B09J1LNXV6,"KASENTEX All Seasons 100% Cotton Goose Down and Feather Duvet Insert - Soft Fluffy White Comforter, 90x90 Queen Size",751,0.03%,971,0.03%,96.29%,46,0,6.13%,0.00%,"$4,535.67",$0.00,46,0
B0992XTZWX,B083HSDK91,"KASENTEX Luxury Goose Down Alternative Comforter Set with Plush Microfiber Stripe Design, Reversible and Machine Washable (Oxford Blue, Full/Queen Set)","2,688",0.10%,"3,089",0.09%,99.48%,45,1,1.67%,0.04%,"$2,617.00",$54.44,45,1
B08JHC8FSB,B09CDZ7NX9,"KASENTEX Seersucker Quilted Comforter All Season Down Alternative Reversible Fluffy Ultra Soft Duvet Insert, Hypoallergenic Machine Washable, Dark Sage Green, King Size",579,0.02%,746,0.02%,99.06%,45,0,7.77%,0.00%,"$2,841.56",$0.00,45,0
B08JHC8FSB,B09CDZXWJG,"KASENTEX Seersucker Quilted Comforter All Season Down Alternative Reversible Fluffy Ultra Soft Duvet Insert, Hypoallergenic Machine Washable, Navy Blue, Queen Size",650,0.02%,788,0.02%,99.49%,46,0,7.08%,0.00%,"$2,911.54",$0.00,45,0
B08JHC8FSB,B09CDZYJLV,"KASENTEX Seersucker Quilted Comforter All Season Down Alternative Reversible Fluffy Ultra Soft Duvet Insert, Hypoallergenic Machine Washable, Light Gray, Queen Size",644,0.02%,779,0.02%,99.10%,47,0,7.30%,0.00%,"$2,898.53",$0.00,45,0
B07X21XMNM,B07M627BDY,"KASENTEX Quilted Comforter Set with Stylish Ruffled Edge Trim Nostalgic Design Microfiber Soft Warm Bedding with Sham (Green, Twin + 1 Standard Sham)","3,013",0.11%,"3,661",0.11%,99.15%,45,1,1.49%,0.03%,"$2,299.56",$48.50,43,1
B07X2ZDLV9,B07MKLJ27Q,"KASENTEX 3 Piece Quilt Set - Contemporary Oversized Bedding with Country-Chic Floral Printed Design, 100% Cotton Soft & Warm Reversible Bedspread (Yellow, Queen + 2 Shams 102x106+20x26 x2)","2,413",0.09%,"3,246",0.09%,98.31%,43,0,1.78%,0.00%,"$3,667.21",$0.00,43,0
B07Q646L5M,B07MRZ2KW8,"KASENTEX Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Floral Design (Camel, Oversized King + 2 Shams)","1,355",0.05%,"1,762",0.05%,98.86%,43,1,3.17%,0.07%,"$2,265.02",$49.49,43,1
B099FMGSKX,B088XS7HSZ,"KASENTEX 100% Cotton Sham Floral Patchwork Design, Soft & Machine Washable, Two Standard Shams 20x26, Printed Multi-Blue",959,0.04%,"1,260",0.04%,97.70%,45,0,4.69%,0.00%,"$1,647.55",$0.00,43,0
B07Q646L5M,B07GLN329W,"KASENTEX Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Floral Design (Natural Bluestone Floral, King + 2 Shams)","1,821",0.07%,"2,312",0.07%,96.28%,42,1,2.31%,0.05%,"$1,926.76",$44.99,42,1
B07JM78NHR,B07GMHQP8S,"KASENTEX Luxurious Comforter All Seasons Solid Color Duvet Insert Brushed Poly-Cotton Shell Down-Proof Cozy Soft with Tabs, Queen, Year Round White","1,731",0.06%,"1,960",0.06%,90.92%,44,1,2.54%,0.06%,"$5,346.44",$118.79,42,1
B07Q646L5M,B07MHJTZHP,"Kasentex Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Design (Blush Pink Star, Oversized Queen + 2 Shams)","1,895",0.07%,"2,469",0.07%,96.72%,44,0,2.32%,0.00%,"$2,184.22",$0.00,42,0
B07L5HFCDZ,B07DQJJQ8Z,"KASENTEX Stone Washed Quilted Coverlet Set with Standard Shams, 100% Cotton Ultra Soft Bedspread, Traditional Country Chic Floral Embroidery Patterned, King + 2, Chambray Blue",904,0.03%,"1,218",0.04%,97.04%,46,2,5.09%,0.22%,"$4,625.29",$199.98,41,1
B07Q646L5M,B07MDY3MHR,"KASENTEX Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Floral Design (Natural Bluestone Floral, Oversized King + 2 Shams)",916,0.03%,"1,324",0.04%,98.72%,43,0,4.69%,0.00%,"$2,273.28",$0.00,41,0
B07X2ZDLV9,B07MGZ97B6,"KASENTEX 3 Piece Quilt Set - Contemporary Oversized Bedding with Country-Chic Floral Printed Design, 100% Cotton Soft & Warm Reversible Bedspread (Yellow, King + 2 King Shams 112x106+20x36 x2)","1,925",0.07%,"2,476",0.07%,98.67%,41,0,2.13%,0.00%,"$3,909.68",$0.00,41,0
B07X21XMNM,B07MKLF9GM,"KASENTEX Quilted Comforter Set with Stylish Ruffled Edge Trim Nostalgic Design 3 Piece Mini Set, Microfiber Soft Warm Bedding with Shams (Light Grey, Queen + 2 Standard Shams)","2,364",0.09%,"2,715",0.08%,98.97%,41,0,1.73%,0.00%,"$2,512.37",$0.00,41,0
B088ZGT8GM,B088XS7HSZ,"KASENTEX 100% Cotton Sham Floral Patchwork Design, Soft & Machine Washable, Two Standard Shams 20x26, Printed Multi-Blue",261,0.01%,400,0.01%,96.00%,42,0,16.09%,0.00%,"$1,574.16",$0.00,41,0
B088ZGT8GM,B088Y38FMG,"KASENTEX 100% Cotton Sham Floral Patchwork Design, Soft & Machine Washable, Two King Shams 20x36, Coastal Blue",316,0.01%,405,0.01%,88.89%,42,0,13.29%,0.00%,"$1,796.97",$0.00,41,0
B08J8G5HGR,B08J8GMYJP,"KASENTEX Goose Down Feather Pillow for Sleeping, 100% Cotton Plush Medium Soft - Three Layer Bed Pillow with Black Silky Piping, White, King Size",739,0.03%,906,0.03%,92.38%,49,0,6.63%,0.00%,"$3,779.61",$0.00,41,0
B08JHC8FSB,B09CDZ191K,"KASENTEX Seersucker Quilted Comforter All Season Down Alternative Reversible Fluffy Ultra Soft Duvet Insert, Hypoallergenic Machine Washable, Light Gray, King Size",492,0.02%,626,0.02%,98.88%,44,0,8.94%,0.00%,"$2,827.56",$0.00,41,0
B08JHC8FSB,B09CF1CLMT,"KASENTEX Seersucker Quilted Comforter All Season Down Alternative Reversible Fluffy Ultra Soft Duvet Insert, Hypoallergenic Machine Washable, Navy Blue, King Size",476,0.02%,554,0.02%,99.82%,41,0,8.61%,0.00%,"$2,743.59",$0.00,40,0
B07Q646L5M,B07GL3RZZK,"KASENTEX Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Floral Design (Camel, Twin + 1 Sham)","3,478",0.13%,"4,176",0.12%,97.73%,45,1,1.29%,0.03%,"$1,431.00",$29.69,39,1
B07Q646L5M,B07GL4HTMD,"KASENTEX Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Floral Design (Deep Celadon Green, Twin + 1 Sham)","2,258",0.08%,"2,834",0.08%,97.88%,47,0,2.08%,0.00%,"$1,476.24",$0.00,39,0
B07HN8X9F6,B07HN8X9F6,"KASENTEX All Season Down Alternative Quilted Comforter Set with Sham(s) - Reversible Ultra Soft Duvet Insert Hypoallergenic Machine Washable, Queen, Pink Potpourri/Quartz Silver",0,0.00%,0,0.00%,0.00%,39,0,0.00%,0.00%,"$2,183.61",$0.00,39,0
B07JM78NHR,B07HPDVH9S,"KASENTEX Luxurious White Down Comforter Duvet Insert, Poly Cotton Shell Down Proof, Year Round White Down Comforter, King Size","1,538",0.06%,"1,774",0.05%,96.05%,39,3,2.54%,0.20%,"$4,856.28",$386.07,39,3
B083HS7FGB,B083HS8CWH,"KASENTEX Luxury Goose Down Alternative Comforter Set with Plush Microfiber Stripe Design, Reversible and Machine Washable (Daisy White, King Set)",857,0.03%,"1,056",0.03%,99.24%,39,0,4.55%,0.00%,"$2,341.09",$0.00,39,0
B0992XTZWX,B083HS8RJ3,"KASENTEX Luxury Goose Down Alternative Comforter Set with Plush Microfiber Stripe Design, Reversible and Machine Washable (Orchid Pink, Full/Queen Set)","2,210",0.08%,"2,551",0.07%,98.78%,39,0,1.76%,0.00%,"$2,279.61",$0.00,39,0
