"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Wayfair US,yellow comforter set,Bedding Sets,148,0.06%,79.05%,66.89%,38.51%
Wayfair US,king size bedspread,Bedding Sets,146,0.06%,47.26%,30.82%,8.22%
Wayfair US,queen bed quilt,Bedding Sets,145,0.06%,57.93%,45.52%,12.41%
Wayfair US,twin bed in a bag,Bedding Sets,145,0.06%,43.45%,28.97%,1.38%
Wayfair US,chair pad,Furniture Cushions,145,0.36%,8.97%,6.9%,3.45%
Wayfair US,oversized king comforter sets,Bedding Sets,143,0.06%,41.26%,29.37%,4.9%
Wayfair US,orange comforter set,Bedding Sets,142,0.05%,86.62%,78.87%,56.34%
Wayfair US,king bedding sets,Bedding Sets,142,0.05%,47.89%,31.69%,9.86%
Wayfair US,sherpa comforter,Bedding Sets,142,0.05%,26.76%,16.2%,2.11%
Wayfair US,twin daybed bedding sets,Bedding Sets,142,0.05%,30.99%,22.54%,7.04%
Wayfair US,french country,Bedding Sets,142,0.05%,2.82%,2.11%,1.41%
Wayfair US,comforter king,Bedding Sets,141,0.05%,64.54%,48.23%,21.28%
Wayfair US,bed in bag,Bedding Sets,140,0.05%,14.29%,4.29%,0.71%
Wayfair US,7 piece comforter set,Bedding Sets,139,0.05%,43.17%,27.34%,19.42%
Wayfair US,gray quilt,Bedding Sets,138,0.05%,70.29%,61.59%,33.33%
Wayfair US,extra wide king bedspreads,Bedding Sets,137,0.05%,32.85%,3.65%,0.73%
Wayfair US,cotton quilts,Bedding Sets,137,0.05%,21.9%,16.79%,12.41%
Wayfair US,light blue comforter set,Bedding Sets,137,0.05%,62.77%,54.01%,33.58%
Wayfair US,cal king comforter sets,Bedding Sets,136,0.05%,33.82%,33.82%,1.47%
Wayfair US,fluffy comforter,Bedding Sets,136,0.05%,86.03%,78.68%,66.91%
Wayfair US,outdoor patio furniture cushions,Furniture Cushions,136,0.34%,11.03%,6.62%,2.94%
Wayfair US,cream bedding,Bedding Sets,135,0.05%,65.93%,65.19%,8.89%
Wayfair US,microfiber comforter set,Bedding Sets,134,0.05%,77.61%,71.64%,59.7%
Wayfair US,king bed in a bag,Bedding Sets,133,0.05%,15.79%,11.28%,4.51%
Wayfair US,blue duvet cover,Bedding Sets,133,0.05%,22.56%,5.26%,0.75%
Wayfair US,floral comforter set,Bedding Sets,132,0.05%,28.79%,25.76%,0.76%
Wayfair US,white queen comforter,Bedding Sets,132,0.05%,65.91%,52.27%,9.09%
Wayfair US,fall comforter,Bedding Sets,130,0.05%,43.08%,33.85%,28.46%
Wayfair US,charcoal gray comforter sets,Bedding Sets,130,0.05%,84.62%,83.08%,79.23%
Wayfair US,purple quilt,Bedding Sets,129,0.05%,89.15%,83.72%,44.19%
Wayfair US,queen bed comforter,Bedding Sets,128,0.05%,62.5%,50%,26.56%
Wayfair US,kids comforter,Bedding Sets,128,0.05%,33.59%,32.81%,28.91%
Wayfair US,twin comforters,Bedding Sets,128,0.05%,64.84%,53.13%,30.47%
Wayfair US,turquoise bedding,Bedding Sets,128,0.05%,45.31%,32.81%,5.47%
Wayfair US,120x120 king quilt,Bedding Sets,128,0.05%,63.28%,54.69%,32.03%
Wayfair US,fall comforter sets,Bedding Sets,127,0.05%,44.88%,38.58%,18.9%
Wayfair US,floral comforter,Bedding Sets,126,0.05%,15.87%,7.14%,1.59%
Wayfair US,yellow quilt,Bedding Sets,126,0.05%,69.84%,57.94%,25.4%
Wayfair US,french country bedding,Bedding Sets,124,0.05%,72.58%,49.19%,12.9%
Wayfair US,full bed comforter,Bedding Sets,124,0.05%,57.26%,44.35%,5.65%
Wayfair US,132 x 120 king oversized comforter,Bedding Sets,124,0.05%,75%,63.71%,3.23%
Wayfair US,feather pillows,Standard Bed Pillows,124,1.71%,92.74%,92.74%,38.71%
Wayfair US,navy blue comforter sets,Bedding Sets,124,0.05%,62.9%,50.81%,34.68%
Wayfair US,pink duvet cover,Bedding Sets,122,0.05%,47.54%,38.52%,14.75%
Wayfair US,queen duvet cover set,Bedding Sets,122,0.05%,20.49%,8.2%,0.82%
Wayfair US,navy blue bedding,Bedding Sets,121,0.05%,44.63%,28.93%,11.57%
Wayfair US,18 x 18 outdoor chair cushions,Furniture Cushions,121,0.3%,9.09%,1.65%,0%
Wayfair US,non slip kitchen chair pads,Furniture Cushions,120,0.3%,21.67%,0%,0%
Wayfair US,standard pillows,Standard Bed Pillows,120,1.65%,48.33%,46.67%,6.67%
Wayfair US,burgundy comforter,Bedding Sets,120,0.05%,68.33%,59.17%,0%
Wayfair US,rust bedding,Bedding Sets,119,0.05%,58.82%,46.22%,0.84%
Wayfair US,oversize king comforter,Bedding Sets,118,0.05%,55.93%,41.53%,1.69%
Wayfair US,linen quilt,Bedding Sets,118,0.05%,32.2%,30.51%,1.69%
Wayfair US,girls twin comforter set,Bedding Sets,118,0.05%,60.17%,46.61%,29.66%
Wayfair US,queen down comforter,Duvet Fills and Down Comforters,118,1.3%,18.64%,11.86%,0.85%
Wayfair US,bungalow rose quilt,Bedding Sets,117,0.05%,25.64%,2.56%,0.85%
Wayfair US,white bedding set,Bedding Sets,117,0.05%,31.62%,20.51%,2.56%
Wayfair US,twin comforter sets,Bedding Sets,116,0.04%,69.83%,56.9%,40.52%
Wayfair US,farmhouse comforter,Bedding Sets,116,0.04%,25%,24.14%,20.69%
Wayfair US,blush comforter set,Bedding Sets,115,0.04%,66.96%,54.78%,40%
Wayfair US,king bed quilt,Bedding Sets,115,0.04%,75.65%,60%,12.17%
Wayfair US,lavender comforter,Bedding Sets,115,0.04%,73.91%,58.26%,8.7%
Wayfair US,oversized king coverlet,Bedding Sets,114,0.04%,58.77%,44.74%,17.54%
Wayfair US,full quilt,Bedding Sets,114,0.04%,32.46%,31.58%,5.26%
Wayfair US,comforter full,Bedding Sets,114,0.04%,46.49%,34.21%,20.18%
Wayfair US,green duvet,Bedding Sets,112,0.04%,44.64%,33.93%,11.61%
Wayfair US,laura ashley quilts,Bedding Sets,111,0.04%,5.41%,2.7%,0%
Wayfair US,queen size bed spreads,Bedding Sets,111,0.04%,54.96%,43.24%,12.61%
Wayfair US,dining chair pads,Furniture Cushions,111,0.28%,36.94%,22.52%,4.5%
Wayfair US,white king comforter set,Bedding Sets,110,0.04%,56.36%,47.27%,10.91%
Wayfair US,twin duvet,Bedding Sets,110,0.04%,29.09%,20.91%,2.73%
Wayfair US,king size conforter set,Bedding Sets,110,0.04%,50%,42.73%,32.73%
Wayfair US,oversized queen quilt,Bedding Sets,110,0.04%,79.09%,70.91%,50%
Wayfair US,outdoor patio chair cushions,Furniture Cushions,109,0.27%,6.42%,2.75%,0%
Wayfair US,bedding queen,Bedding Sets,108,0.04%,49.07%,36.11%,7.41%
Wayfair US,august grove quilts,Bedding Sets,107,0.04%,82.24%,68.22%,17.76%
Wayfair US,cal king comforter,Bedding Sets,107,0.04%,28.04%,28.04%,0%
Wayfair US,full size bed comforter sets,Bedding Sets,107,0.04%,64.49%,53.27%,35.51%
Wayfair US,king size comforters,Bedding Sets,107,0.04%,61.68%,42.99%,24.3%
Wayfair US,winter comforter,Bedding Sets,107,0.04%,44.86%,33.64%,1.87%
Wayfair US,modern bedding,Bedding Sets,106,0.04%,71.7%,59.43%,26.42%
Wayfair US,modern farmhouse bedding,Bedding Sets,106,0.04%,16.04%,6.6%,0%
Wayfair US,king mattress topper,Mattress Toppers and Pads,106,0.53%,3.77%,0%,0%
Wayfair US,tahari home bedding,Bedding Sets,105,0.04%,47.62%,41.9%,6.67%
Wayfair US,bedding king,Bedding Sets,104,0.04%,58.65%,45.19%,11.54%
Wayfair US,fall comforters,Bedding Sets,104,0.04%,41.35%,25.96%,22.12%
Wayfair US,farmhouse comforter set,Bedding Sets,103,0.04%,31.07%,30.1%,0.97%
Wayfair US,girls twin bedding,Bedding Sets,103,0.04%,55.34%,45.63%,9.71%
Wayfair US,bunk bed bedding,Bedding Sets,103,0.04%,47.57%,40.78%,8.74%
Wayfair US,comforter sets by madison park,Bedding Sets,103,0.04%,33.01%,4.85%,0%
Wayfair US,bed quilt,Bedding Sets,102,0.04%,63.73%,49.02%,13.73%
Wayfair US,oversized queen bedspreads,Bedding Sets,102,0.04%,48.04%,30.39%,9.8%
Wayfair US,western bedding,Bedding Sets,101,0.04%,4.95%,1.98%,0%
Wayfair US,christmas quilt,Bedding Sets,101,0.04%,32.67%,30.69%,1.98%
Wayfair US,bedding full,Bedding Sets,100,0.04%,26%,17%,10%
Wayfair US,blue queen comforter set,Bedding Sets,100,0.04%,71%,50%,37%
Wayfair US,twin xl comforter set,Bedding Sets,100,0.04%,30%,29%,22%
Wayfair US,blush comforter,Bedding Sets,99,0.04%,82.83%,70.71%,25.25%
Wayfair US,orthopedic dog bed,Dog Beds & Mats,99,0.51%,10.1%,2.02%,0%
Wayfair US,comforter sets queen,Bedding Sets,99,0.04%,47.47%,38.38%,29.29%
Wayfair US,brown comforter set,Bedding Sets,98,0.04%,33.67%,33.67%,25.51%
Wayfair US,outdoor seat cushion,Furniture Cushions,98,0.25%,8.16%,7.14%,4.08%
Wayfair US,velvet duvet,Bedding Sets,98,0.04%,40.82%,40.82%,0%
Wayfair US,twin bed comforter,Bedding Sets,97,0.04%,62.89%,52.58%,19.59%
Wayfair US,gold bedding,Bedding Sets,97,0.04%,52.58%,41.24%,13.4%
Wayfair US,cotton duvet cover,Bedding Sets,97,0.04%,7.22%,3.09%,1.03%
Wayfair US,blue and white bedding,Bedding Sets,96,0.04%,43.75%,30.21%,9.38%
Wayfair US,24 piece comforter set,Bedding Sets,95,0.04%,87.37%,87.37%,55.79%
Wayfair US,twin xl quilt,Bedding Sets,95,0.04%,30.53%,29.47%,2.11%
Wayfair US,reversible quilt set,Bedding Sets,95,0.04%,70.53%,55.79%,13.68%
Wayfair US,red bedding,Bedding Sets,94,0.04%,51.06%,39.36%,20.21%
Wayfair US,reversible quilt,Bedding Sets,94,0.04%,62.77%,47.87%,27.66%
Wayfair US,holiday bedding,Bedding Sets,94,0.04%,17.02%,17.02%,7.45%
Wayfair US,queen size quilt,Bedding Sets,93,0.04%,69.89%,55.91%,15.05%
Wayfair US,queen size bedding set,Bedding Sets,93,0.04%,41.94%,27.96%,7.53%
Wayfair US,twin mattress pad,Mattress Toppers and Pads,93,0.46%,13.98%,11.83%,2.15%
Wayfair US,cal king bedding,Bedding Sets,93,0.04%,31.18%,31.18%,12.9%
Wayfair US,comforter set queen,Bedding Sets,93,0.04%,47.31%,38.71%,30.11%
Wayfair US,down pillow,Standard Bed Pillows,92,1.27%,80.43%,80.43%,25%
Wayfair US,king pillow,Standard Bed Pillows,91,1.25%,48.35%,45.05%,1.1%
Wayfair US,gray comforter set,Bedding Sets,91,0.04%,65.93%,50.55%,27.47%
Wayfair US,full size bed spread,Bedding Sets,90,0.03%,26.67%,15.56%,4.44%
Wayfair US,boys comforter set,Bedding Sets,90,0.03%,58.89%,50%,37.78%
Wayfair US,king mattress pad,Mattress Toppers and Pads,90,0.45%,6.67%,5.56%,1.11%
Wayfair US,beding,Bedding Sets,89,0.03%,52.81%,43.82%,4.49%
Wayfair US,100 percent cotton bedspreads,Bedding Sets,88,0.03%,17.05%,1.14%,0%
Wayfair US,queen size bedspread sets,Bedding Sets,88,0.03%,46.59%,22.73%,4.55%
Wayfair US,rainbow comforter,Bedding Sets,88,0.03%,68.18%,54.55%,1.14%
Wayfair US,queen bed cover,Bedding Sets,88,0.03%,39.77%,26.14%,4.55%
Wayfair US,turquoise comforter,Bedding Sets,87,0.03%,83.91%,75.86%,40.23%
Wayfair US,cooling comforter,Bedding Sets,87,0.03%,19.54%,12.64%,2.3%
Wayfair US,rust comforter,Bedding Sets,86,0.03%,69.77%,63.95%,36.05%
Wayfair US,light blue comforter,Bedding Sets,86,0.03%,70.93%,60.47%,34.88%
Wayfair US,grey quilt,Bedding Sets,85,0.03%,74.12%,65.88%,42.35%
Wayfair US,cotton quilt set,Bedding Sets,85,0.03%,35.29%,25.88%,1.18%
Wayfair US,full bed comforter set,Bedding Sets,85,0.03%,68.24%,55.29%,30.59%
Wayfair US,black quilt,Bedding Sets,85,0.03%,29.41%,29.41%,0%
Wayfair US,tan comforter,Bedding Sets,84,0.03%,72.62%,71.43%,5.95%
Wayfair US,white coverlet,Bedding Sets,83,0.03%,33.73%,19.28%,1.2%
Wayfair US,king bed coverlet,Bedding Sets,83,0.03%,48.19%,38.55%,15.66%
Wayfair US,black and white quilt,Bedding Sets,83,0.03%,49.4%,37.35%,6.02%
Wayfair US,outdoor dining chair cushions,Furniture Cushions,83,0.21%,12.05%,7.23%,2.41%
Wayfair US,brown comforter,Bedding Sets,82,0.03%,25.61%,25.61%,6.1%
Wayfair US,kids comforters,Bedding Sets,82,0.03%,39.02%,37.8%,37.8%
Wayfair US,king conforter set,Bedding Sets,82,0.03%,53.66%,43.9%,35.37%
Wayfair US,terracotta bedding,Bedding Sets,82,0.03%,13.41%,1.22%,0%
Wayfair US,twin bedding sets,Bedding Sets,82,0.03%,51.22%,37.8%,6.1%
Wayfair US,24x24 deep seat cushions,Furniture Cushions,81,0.2%,3.7%,1.23%,0%
Wayfair US,blue quilts,Bedding Sets,81,0.03%,72.84%,59.26%,18.52%
Wayfair US,pillow top mattress topper,Mattress Toppers and Pads,80,0.4%,23.75%,18.75%,0%
Wayfair US,yellow bedspread,Bedding Sets,80,0.03%,63.75%,47.5%,27.5%
Wayfair US,twin size bedding,Bedding Sets,79,0.03%,56.96%,41.77%,13.92%
Wayfair US,rustic mountain cabin bedding,Bedding Sets,78,0.03%,14.1%,0%,0%
Wayfair US,queen conforter,Bedding Sets,78,0.03%,66.67%,60.26%,38.46%
Wayfair US,king size oversized bedspreads,Bedding Sets,78,0.03%,47.44%,30.77%,11.54%
Wayfair US,modern comforter,Bedding Sets,78,0.03%,85.9%,75.64%,38.46%
Wayfair US,dining room chair cushions,Furniture Cushions,78,0.2%,7.69%,2.56%,0%
Wayfair US,country bedding,Bedding Sets,78,0.03%,52.56%,37.18%,11.54%
Wayfair US,comforter sets king,Bedding Sets,78,0.03%,60.26%,48.72%,35.9%
Wayfair US,forest green comforter set,Bedding Sets,78,0.03%,79.49%,79.49%,75.64%
Wayfair US,cabin bedding,Bedding Sets,77,0.03%,15.58%,1.3%,0%
Wayfair US,linens,Bedding Sets,77,0.03%,41.56%,40.26%,10.39%
Wayfair US,tan bedding,Bedding Sets,77,0.03%,80.52%,74.03%,44.16%
Wayfair US,silk comforter set,Bedding Sets,76,0.03%,80.26%,78.95%,30.26%
Wayfair US,oversized king bedding,Bedding Sets,76,0.03%,75%,59.21%,22.37%
