"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Brand Catalog,Search Term,Class,Last 30 Day Impressions,Search Term Share of Impressions for Given Class,Supplier Share of Search,Supplier Share of Page 1,Supplier Share of Top 8
Wayfair US,august grove quilts,Bedding Sets,127,0.05%,81.1%,68.5%,16.54%
Wayfair US,feather pillows,Standard Bed Pillows,127,1.65%,89.76%,89.76%,47.24%
Wayfair US,red comforter,Bedding Sets,127,0.05%,55.12%,42.52%,22.83%
Wayfair US,oversized queen quilt,Bedding Sets,127,0.05%,74.8%,63.78%,45.67%
Wayfair US,indoor dining chair cushions,Furniture Cushions,126,0.32%,7.94%,0%,0%
Wayfair US,chair pad,Furniture Cushions,125,0.32%,9.6%,5.6%,3.2%
Wayfair US,standard pillows,Standard Bed Pillows,125,1.63%,48.8%,48%,6.4%
Wayfair US,twin comforter sets,Bedding Sets,125,0.05%,69.6%,56%,38.4%
Wayfair US,oversized cal king comforters,Bedding Sets,123,0.05%,26.02%,22.76%,15.45%
Wayfair US,orthopedic dog bed,Dog Beds & Mats,123,0.59%,9.76%,1.63%,0%
Wayfair US,king mattress pad,Mattress Toppers and Pads,123,0.64%,8.13%,4.88%,0.81%
Wayfair US,lavender bedding,Bedding Sets,122,0.05%,38.52%,20.49%,11.48%
Wayfair US,blue queen comforter set,Bedding Sets,121,0.05%,63.64%,42.98%,31.41%
Wayfair US,king size comforters,Bedding Sets,120,0.05%,61.67%,42.5%,20%
Wayfair US,oversize king comforter,Bedding Sets,119,0.05%,50.42%,37.82%,1.68%
Wayfair US,white bedding set,Bedding Sets,119,0.05%,31.93%,22.69%,4.2%
Wayfair US,outdoor patio furniture cushions,Furniture Cushions,118,0.3%,10.17%,7.63%,3.39%
Wayfair US,burgundy comforter,Bedding Sets,117,0.04%,64.1%,53.85%,1.71%
Wayfair US,modern bedding,Bedding Sets,117,0.04%,66.67%,52.14%,23.08%
Wayfair US,king conforter set,Bedding Sets,116,0.04%,50.86%,39.66%,30.17%
Wayfair US,modern farmhouse bedding,Bedding Sets,116,0.04%,15.52%,5.17%,0%
Wayfair US,pink duvet cover,Bedding Sets,115,0.04%,47.83%,39.13%,17.39%
Wayfair US,bed in bag,Bedding Sets,115,0.04%,13.04%,3.48%,0%
Wayfair US,white queen comforter,Bedding Sets,114,0.04%,65.79%,50.88%,11.4%
Wayfair US,twin daybed bedding sets,Bedding Sets,113,0.04%,30.97%,22.12%,7.08%
Wayfair US,plush comforter,Bedding Sets,113,0.04%,72.57%,58.41%,34.51%
Wayfair US,navy blue bedding,Bedding Sets,113,0.04%,46.9%,30.97%,11.5%
Wayfair US,blush comforter,Bedding Sets,113,0.04%,83.19%,72.57%,22.12%
Wayfair US,18 x 18 outdoor chair cushions,Furniture Cushions,113,0.29%,9.73%,1.77%,0%
Wayfair US,outdoor seat cushion,Furniture Cushions,112,0.29%,8.04%,5.36%,2.68%
Wayfair US,girls twin comforter set,Bedding Sets,112,0.04%,58.04%,45.54%,29.46%
Wayfair US,turquoise bedding,Bedding Sets,112,0.04%,46.43%,33.04%,5.36%
Wayfair US,twin bed comforter,Bedding Sets,112,0.04%,59.82%,53.57%,16.96%
Wayfair US,queen bed cover,Bedding Sets,111,0.04%,38.74%,27.03%,4.5%
Wayfair US,gold bedding,Bedding Sets,111,0.04%,48.65%,37.84%,11.71%
Wayfair US,bungalow rose quilt,Bedding Sets,111,0.04%,23.42%,3.6%,1.8%
Wayfair US,christmas quilt,Bedding Sets,111,0.04%,29.73%,26.13%,1.8%
