"Matched product ","Product targets","Added as","Impressions","Clicks","CTR","Spend(USD)","CPC(USD)","Orders","Sales(USD)","ACOS","ROAS","Conversion rate"
"120x120 king bedspread","bedspreads king","","18","1","5.56",0.58,0.58,"0",0,,"0.0","0.0"
"bed quilts queen size","bed quilt","","44","6","13.64",1.96,0.33,"0",0,,"0.0","0.0"
"bedspread full size retro chic","bedspread","","3","1","33.33",0.3,0.3,"0",0,,"0.0","0.0"
"all light purple bedspread","bedspread","","1","1","100.00",0.38,0.38,"0",0,,"0.0","0.0"
"bedding mauve","mauve bedding","","2","1","50.00",0.33,0.33,"0",0,,"0.0","0.0"
"bed comforter queen set","bed comforter queen set","Keyword: phrase","13","1","7.69",0.26,0.26,"0",0,,"0.0","0.0"
"bed cap bedspread","bedspread","","1","1","100.00",0.31,0.31,"0",0,,"0.0","0.0"
"black microsuede bedspread","bedspread","","3","1","33.33",0.25,0.25,"0",0,,"0.0","0.0"
"best luxury puffy bedspread king","bedspreads king","","1","1","100.00",0.58,0.58,"0",0,,"0.0","0.0"
"aqua velvet bedspread","bedspread","","8","2","25.00",0.39,0.2,"0",0,,"0.0","0.0"
"blue velour bedspread","bedspread","","1","1","100.00",0.23,0.23,"0",0,,"0.0","0.0"
"asian king bed quilt","bed quilt","","7","1","14.29",0.28,0.28,"0",0,,"0.0","0.0"
"bedspreads king size","bedspread","","37","2","5.41",0.52,0.26,"0",0,,"0.0","0.0"
"bedspread full size teen girl","bedspread","","2","1","50.00",0.17,0.17,"0",0,,"0.0","0.0"
"bedspread queen","bedspread","","20","2","10.00",0.66,0.33,"0",0,,"0.0","0.0"
"better trends stuffed luxurious medallion design bedspread","bedspread","","1","1","100.00",0.28,0.28,"0",0,,"0.0","0.0"
"bedspread super king","bedspreads king","","1","1","100.00",0.42,0.42,"0",0,,"0.0","0.0"
"black bed spread queen sized","bed spread queen sized","","24","1","4.17",0.27,0.27,"0",0,,"0.0","0.0"
